amount,tx_count_1min,tx_amount_1hour,is_new_device,is_overseas,is_night,currency,sender_country,receiver_country,is_cross_border,amount_risk_tier,amount_usd_equivalent,avg_amount_usd_24h,sender_account_age_days,receiver_account_age_days,sender_tx_count_24h,sender_total_amount_usd_24h,receiver_inbound_count_24h,sender_receiver_tx_count_24h,small_amount_burst_1m,small_amount_spread_24h,is_first_time_receiver,fraud
356086.91,1,300822.04,0,0,0,VND,VN,VN,0,MEDIUM,14.24,12.5,13,116,3,37.5,2,2,0,0,1,0
808734.41,6,3822727.5,0,1,0,USD,US,VN,1,CRITICAL,808734.41,440772.16,1382,652,5,2203860.82,6,2,0,0,1,0
658878.99,0,818903.41,0,0,0,VND,VN,VN,0,MEDIUM,26.36,64.95,551,341,0,64.95,1,0,0,0,0,0
294061.6,2,1403707.88,0,0,0,VND,VN,VN,0,MEDIUM,11.76,5.58,1273,229,3,16.73,1,0,0,0,1,0
358164.17,1,597241.73,0,0,0,VND,VN,VN,0,MEDIUM,14.33,27.63,102,506,0,27.63,0,0,0,0,0,0
160745.04,1,691855.67,0,0,0,VND,VN,VN,0,LOW,6.43,6.28,161,769,3,18.83,0,1,0,0,1,0
659117.42,3,3284426.26,0,0,0,VND,VN,VN,0,MEDIUM,26.36,10.93,1166,452,2,21.85,2,2,0,0,0,0
4833150.8,1,7907505.94,0,1,0,VND,VN,US,1,HIGH,193.33,36.31,1101,178,6,217.84,1,1,0,0,1,1
106685.41,4,0.0,0,0,0,VND,VN,VN,0,LOW,4.27,4.73,903,743,0,4.73,0,0,0,0,0,0
400579.21,1,2130488.02,0,0,0,VND,VN,VN,0,MEDIUM,16.02,20.64,1419,446,0,20.64,0,0,0,0,1,0
273502.68,3,1110682.21,0,0,1,VND,VN,VN,0,MEDIUM,10.94,9.07,1135,30,2,18.13,1,0,0,0,0,0
366966.88,3,1153155.3,0,0,0,VND,VN,VN,0,MEDIUM,14.68,3.23,2,635,3,9.68,4,1,0,0,0,0
416262.04,2,1074577.69,0,0,0,VND,VN,VN,0,MEDIUM,16.65,26.33,1211,392,2,52.67,1,2,0,0,0,0
55480.29,0,32330.57,0,0,1,VND,VN,VN,0,LOW,2.22,0.85,198,328,6,5.07,1,1,0,0,0,0
524192.93,1,2468545.77,0,0,0,VND,VN,VN,0,MEDIUM,20.97,15.74,1181,117,3,47.21,1,2,0,0,0,0
683032.9,2,3693996.67,0,0,0,VND,VN,VN,0,MEDIUM,27.32,20.62,1064,446,2,41.24,0,2,0,0,0,0
743113.23,0,1344780.11,0,0,0,VND,VN,VN,0,MEDIUM,29.72,22.63,564,526,4,90.53,0,1,0,0,1,0
146025.04,1,574174.68,0,0,1,VND,VN,VN,0,LOW,5.84,2.68,1307,12,2,5.36,1,2,0,0,0,0
289749.04,5,1282107.45,0,0,0,VND,VN,VN,0,MEDIUM,11.59,5.43,331,101,3,16.3,3,1,1,0,0,1
197958.59,0,726496.67,0,0,0,VND,VN,VN,0,LOW,7.92,1.72,828,711,4,6.88,1,1,0,0,0,0
70513.94,4,269162.11,0,0,0,VND,VN,VN,0,LOW,2.82,0.63,146,427,6,3.75,2,1,0,0,0,0
186203.81,2,509705.68,1,0,1,VND,VN,VN,0,LOW,7.45,5.6,1002,215,3,16.81,0,0,0,0,0,0
131520.62,5,804790.96,1,0,1,VND,VN,VN,0,LOW,5.26,4.96,1302,200,3,14.87,3,1,1,0,0,1
381129.6,2,584110.54,0,0,0,VND,VN,VN,0,MEDIUM,15.25,5.15,475,594,3,15.46,2,3,0,0,0,0
87239.64,2,0.0,0,0,0,VND,VN,VN,0,LOW,3.49,2.56,1105,133,4,10.25,0,1,0,0,0,0
142249.61,3,460430.24,0,0,0,VND,VN,VN,0,LOW,5.69,3.1,312,152,4,12.41,1,3,0,0,0,0
200867.73,2,182960.02,0,0,0,VND,VN,VN,0,MEDIUM,8.03,11.56,1458,794,2,23.12,1,0,0,0,0,0
528405.98,3,2657529.49,1,0,0,VND,VN,VN,0,MEDIUM,21.14,2.91,91,65,5,14.54,1,0,0,0,1,0
2381714.61,2,10818196.83,0,0,1,VND,VN,VN,0,HIGH,95.27,67.35,123,475,4,269.4,1,1,0,0,0,0
2016224.81,3,1953759.8,0,1,0,VND,VN,US,1,HIGH,80.65,91.97,724,531,1,91.97,3,0,0,0,0,1
136750.98,2,283821.38,0,0,1,VND,VN,VN,0,LOW,5.47,1.42,9,264,3,4.27,2,1,0,0,0,0
178202.38,1,656301.2,0,0,0,VND,VN,VN,0,LOW,7.13,4.83,523,612,2,9.66,1,1,0,0,0,0
485795.76,2,2849712.73,1,0,1,VND,VN,VN,0,MEDIUM,19.43,14.33,169,221,4,57.33,1,2,0,0,0,0
108065.91,2,695796.75,0,0,0,VND,VN,VN,0,LOW,4.32,4.42,424,358,2,8.83,1,1,0,0,0,0
2451499.55,1,6803537.13,0,1,0,USD,US,VN,1,CRITICAL,2451499.55,604050.92,543,758,7,4228356.47,1,2,0,0,1,0
364053.91,1,826383.08,0,0,1,VND,VN,VN,0,MEDIUM,14.56,6.67,1232,151,4,26.69,3,1,0,0,0,0
270005.16,5,1270275.52,1,0,0,VND,VN,VN,0,MEDIUM,10.8,7.63,481,115,3,22.89,2,3,1,0,0,1
83812.33,1,324964.7,0,0,1,VND,VN,VN,0,LOW,3.35,3.3,445,234,3,9.9,0,2,0,0,0,0
591425.11,2,2849608.35,0,0,0,VND,VN,VN,0,MEDIUM,23.66,25.66,1003,189,2,51.31,0,1,0,0,0,0
167507.2,1,113090.6,0,0,1,VND,VN,VN,0,LOW,6.7,9.96,497,5,1,9.96,1,1,0,0,0,0
1112846.06,5,5579885.01,1,1,1,USD,US,VN,1,CRITICAL,1112846.06,513410.29,1212,557,6,3080461.76,0,3,0,0,1,1
263584.64,1,363260.85,0,0,0,VND,VN,VN,0,MEDIUM,10.54,34.22,1028,445,1,34.22,1,1,0,0,1,0
90413.6,0,95456.83,0,0,0,VND,VN,VN,0,LOW,3.62,0.66,641,727,3,1.97,2,0,0,0,0,0
249443.03,0,1136094.46,0,0,0,VND,VN,VN,0,MEDIUM,9.98,11.7,47,730,2,23.41,1,2,0,0,0,0
119645.32,2,163926.97,0,0,0,VND,VN,VN,0,LOW,4.79,5.36,1439,142,1,5.36,0,1,0,0,0,0
181858.74,3,1160061.35,0,0,0,VND,VN,VN,0,LOW,7.27,5.04,555,61,5,25.19,1,1,0,0,0,0
410275.67,1,1018228.78,0,0,0,VND,VN,VN,0,MEDIUM,16.41,6.28,371,152,3,18.85,4,0,0,0,1,0
502245.83,4,1762785.59,0,0,0,VND,VN,VN,0,MEDIUM,20.09,11.81,560,774,4,47.26,2,0,0,0,0,0
292527.76,1,1662376.46,0,0,0,VND,VN,VN,0,MEDIUM,11.7,4.71,64,542,4,18.85,0,3,0,0,0,0
400620.09,10,2345351.71,1,1,0,USD,US,VN,1,CRITICAL,400620.09,80839.13,816,759,9,727552.15,4,2,0,0,0,1
182488.32,3,1108854.22,1,0,1,VND,VN,VN,0,LOW,7.3,11.86,1159,498,2,23.71,0,1,0,0,1,0
180127.56,1,941621.3,0,0,1,VND,VN,VN,0,LOW,7.21,5.82,987,247,1,5.82,1,1,0,0,1,0
59706.83,2,484764.49,0,0,0,VND,VN,VN,0,LOW,2.39,0.47,1473,614,3,1.42,3,2,0,0,0,0
313308.98,2,488008.65,0,0,0,VND,VN,VN,0,MEDIUM,12.53,16.18,542,3,2,32.37,0,2,0,0,0,0
85003.15,2,49504.65,1,0,0,VND,VN,VN,0,LOW,3.4,3.48,348,743,1,3.48,0,1,0,0,0,0
313999.53,1,1169949.05,0,0,0,VND,VN,VN,0,MEDIUM,12.56,7.09,1479,789,2,14.19,2,1,0,0,0,1
99252.62,0,457444.61,0,0,0,VND,VN,VN,0,LOW,3.97,1.67,1185,333,5,8.33,1,2,0,0,1,1
120007.46,1,549524.83,1,0,0,VND,VN,VN,0,LOW,4.8,7.79,871,153,2,15.58,1,2,0,0,1,0
489657.64,0,840405.61,0,0,0,VND,VN,VN,0,MEDIUM,19.59,20.45,528,421,3,61.36,1,1,0,0,0,0
1644468.49,3,3446634.72,0,1,0,VND,VN,US,1,MEDIUM,65.78,184.6,258,686,1,184.6,2,1,0,0,1,0
72140.31,1,84960.16,0,0,0,VND,VN,VN,0,LOW,2.89,4.25,409,11,1,4.25,2,1,0,0,0,0
195028.65,1,425844.86,0,0,0,VND,VN,VN,0,LOW,7.8,10.55,111,727,2,21.1,1,1,0,0,0,0
360937.97,1,1382965.47,0,0,0,VND,VN,VN,0,MEDIUM,14.44,25.25,791,43,2,50.5,2,0,0,0,0,0
186377.98,0,478305.28,0,0,0,VND,VN,VN,0,LOW,7.46,19.69,739,62,1,19.69,1,1,0,0,0,0
229265.54,3,833595.5,0,0,1,VND,VN,VN,0,MEDIUM,9.17,15.69,892,641,1,15.69,1,1,0,0,0,0
356131.15,4,166347.56,1,0,0,VND,VN,VN,0,MEDIUM,14.25,8.4,949,720,5,42.01,1,1,0,0,1,0
306669.97,0,167079.47,0,0,0,VND,VN,VN,0,MEDIUM,12.27,28.25,329,555,1,28.25,0,1,0,0,1,0
538936.95,0,1360915.64,0,1,0,VND,VN,US,1,MEDIUM,21.56,7.33,60,798,5,36.67,4,3,0,0,0,0
301560.74,5,428563.81,0,0,0,VND,VN,VN,0,MEDIUM,12.06,8.95,1411,380,2,17.89,3,1,1,0,1,0
239065.21,6,768584.61,1,0,0,VND,VN,VN,0,MEDIUM,9.56,5.46,947,451,4,21.83,3,2,1,0,0,0
1080666.77,1,2899181.35,0,0,0,VND,VN,VN,0,MEDIUM,43.23,30.23,358,292,4,120.94,2,0,0,0,0,0
1026397.24,3,3582917.58,0,1,0,VND,VN,US,1,MEDIUM,41.06,28.72,335,248,3,86.15,1,0,0,0,0,0
328151.12,3,637494.31,1,0,0,VND,VN,VN,0,MEDIUM,13.13,40.66,826,256,1,40.66,2,1,0,0,0,0
360353.11,1,1444379.73,0,0,0,VND,VN,VN,0,MEDIUM,14.41,5.13,628,328,5,25.67,2,2,0,0,0,0
232878.35,0,385804.26,0,0,0,VND,VN,VN,0,MEDIUM,9.32,2.14,208,654,3,6.43,2,3,0,0,1,0
978020.64,3,3143112.3,1,1,0,USD,US,VN,1,CRITICAL,978020.64,2312917.95,1118,799,0,2312917.95,1,0,0,0,1,1
1777192.77,6,3148055.77,0,1,1,USD,US,VN,1,CRITICAL,1777192.77,164397.04,869,311,6,986382.25,2,2,0,0,0,1
421240.54,2,1889883.25,0,0,0,VND,VN,VN,0,MEDIUM,16.85,26.78,652,520,2,53.56,3,2,0,0,0,0
6834855.67,3,12831282.35,0,1,1,USD,US,VN,1,CRITICAL,6834855.67,3703253.84,1253,428,6,22219523.07,3,2,0,0,0,1
2728928.88,4,3002886.6,0,1,0,USD,US,VN,1,CRITICAL,2728928.88,2203107.26,120,687,2,4406214.53,3,0,0,0,0,1
524111.37,2,3039691.57,1,0,0,VND,VN,VN,0,MEDIUM,20.96,14.56,661,386,5,72.81,3,2,0,0,0,0
508032.93,0,2312866.93,0,0,1,VND,VN,VN,0,MEDIUM,20.32,3.66,453,569,5,18.28,2,0,0,0,1,0
176708.75,0,716365.31,0,0,0,VND,VN,VN,0,LOW,7.07,1.67,344,217,5,8.34,0,0,0,0,0,0
115441.55,1,91784.53,0,0,0,VND,VN,VN,0,LOW,4.62,0.98,273,292,4,3.9,1,1,0,0,0,0
139707.4,3,686529.25,0,0,1,VND,VN,VN,0,LOW,5.59,2.33,953,326,4,9.33,1,1,0,0,0,1
496818.03,1,1836230.83,0,0,0,VND,VN,VN,0,MEDIUM,19.87,16.75,3,504,2,33.5,2,1,0,0,0,0
861318.74,2,4584120.83,0,0,1,VND,VN,VN,0,MEDIUM,34.45,35.27,1196,283,2,70.55,1,2,0,0,0,0
514269.17,1,2271802.19,0,0,0,VND,VN,VN,0,MEDIUM,20.57,14.89,425,65,2,29.77,5,2,0,0,0,0
850344.11,1,1582640.0,0,1,0,USD,US,VN,1,CRITICAL,850344.11,124965.58,594,759,5,624827.88,2,0,0,0,0,0
1042889.62,2,1675878.24,0,0,0,VND,VN,VN,0,MEDIUM,41.72,19.37,1400,594,3,58.1,1,1,0,0,0,0
212619.44,1,352030.33,0,0,0,VND,VN,VN,0,MEDIUM,8.5,14.75,494,433,2,29.5,3,2,0,0,0,0
125352.5,1,594224.31,0,0,1,VND,VN,VN,0,LOW,5.01,9.62,348,250,1,9.62,3,1,0,0,0,0
358521.51,1,1323453.96,0,0,0,VND,VN,VN,0,MEDIUM,14.34,8.46,1471,446,0,8.46,0,0,0,0,1,0
781441.35,1,4592231.04,0,0,0,VND,VN,VN,0,MEDIUM,31.26,12.99,457,268,4,51.98,0,1,0,0,0,0
157495.14,1,669672.66,0,0,1,VND,VN,VN,0,LOW,6.3,5.81,361,620,1,5.81,0,1,0,0,0,0
251795.18,3,385818.14,0,1,1,USD,US,VN,1,CRITICAL,251795.18,97286.81,1393,672,5,486434.05,2,1,0,0,0,0
305064.45,1,1758825.11,0,0,0,VND,VN,VN,0,MEDIUM,12.2,18.77,577,184,2,37.54,3,2,0,0,0,1
528912.17,2,2629066.72,0,0,0,VND,VN,VN,0,MEDIUM,21.16,46.96,960,277,0,46.96,1,0,0,0,0,0
32098.84,2,36661.29,1,0,1,VND,VN,VN,0,LOW,1.28,2.69,1280,751,1,2.69,1,0,0,0,0,0
2831729.59,5,15656468.58,0,1,0,VND,VN,US,1,HIGH,113.27,42.81,1108,212,5,214.03,2,0,0,0,0,1
106393.75,0,459816.81,0,0,0,VND,VN,VN,0,LOW,4.26,14.67,675,284,0,14.67,0,0,0,0,0,0
510743.26,4,1483094.22,1,0,0,VND,VN,VN,0,MEDIUM,20.43,16.81,1272,77,4,67.22,0,0,0,0,1,0
66335.09,2,186620.62,0,0,0,VND,VN,VN,0,LOW,2.65,2.92,97,221,3,8.77,1,1,0,0,0,0
